,index,count
319,319.0,812.0
320,320.0,751.0
321,321.0,783.0
322,322.0,764.0
323,323.0,729.0
324,324.0,754.0
325,325.0,659.0
326,326.0,676.0
327,327.0,666.0
328,328.0,700.0
329,329.0,736.0
330,330.0,753.0
331,331.0,782.0
332,332.0,770.0
333,333.0,811.0
334,334.0,748.0
335,335.0,779.0
336,336.0,823.0
337,337.0,795.0
338,338.0,776.0
339,339.0,828.0
340,340.0,768.0
341,341.0,827.0
342,342.0,790.0
343,343.0,830.0
344,344.0,834.0
345,345.0,802.0
346,346.0,794.0
347,347.0,814.0
348,348.0,838.0
349,349.0,794.0
350,350.0,777.0
351,351.0,809.0
352,352.0,761.0
353,353.0,791.0
354,354.0,790.0
355,355.0,802.0
356,356.0,829.0
357,357.0,833.0
358,358.0,797.0
359,359.0,782.0
360,360.0,800.0
361,361.0,768.0
362,362.0,747.0
363,363.0,812.0
364,364.0,761.0
365,365.0,764.0
366,366.0,744.0
367,367.0,710.0
368,368.0,764.0
369,369.0,810.0
370,370.0,765.0
371,371.0,807.0
372,372.0,810.0
373,373.0,801.0
374,374.0,789.0
375,375.0,768.0
376,376.0,836.0
377,377.0,801.0
378,378.0,782.0
379,379.0,757.0
380,380.0,823.0
381,381.0,807.0
382,382.0,787.0
383,383.0,767.0
384,384.0,787.0
385,385.0,739.0
386,386.0,827.0
387,387.0,794.0
388,388.0,822.0
389,389.0,810.0
390,390.0,798.0
391,391.0,781.0
392,392.0,755.0
393,393.0,742.0
394,394.0,730.0
395,395.0,699.0
396,396.0,737.0
397,397.0,777.0
398,398.0,812.0
399,399.0,789.0
400,400.0,766.0
401,401.0,757.0
402,402.0,754.0
403,403.0,781.0
404,404.0,793.0
405,405.0,853.0
406,406.0,825.0
407,407.0,787.0
408,408.0,785.0
409,409.0,777.0
410,410.0,786.0
411,411.0,790.0
412,412.0,815.0
413,413.0,824.0
414,414.0,811.0
415,415.0,779.0
416,416.0,767.0
417,417.0,823.0
418,418.0,765.0
419,419.0,756.0
420,420.0,822.0
421,421.0,762.0
422,422.0,795.0
423,423.0,814.0
424,424.0,838.0
425,425.0,777.0
426,426.0,820.0
427,427.0,748.0
428,428.0,761.0
429,429.0,769.0
430,430.0,827.0
431,431.0,732.0
432,432.0,699.0
433,433.0,724.0
434,434.0,666.0
435,435.0,645.0
436,436.0,670.0
437,437.0,755.0
438,438.0,793.0
439,439.0,731.0
440,440.0,804.0
441,441.0,770.0
442,442.0,824.0
443,443.0,767.0
444,444.0,787.0
445,445.0,828.0
446,446.0,789.0
447,447.0,791.0
448,448.0,760.0
449,449.0,817.0
450,450.0,805.0
451,451.0,790.0
452,452.0,795.0
453,453.0,824.0
454,454.0,823.0
455,455.0,794.0
456,456.0,834.0
457,457.0,817.0
458,458.0,827.0
459,459.0,747.0
460,460.0,752.0
461,461.0,788.0
462,462.0,754.0
463,463.0,761.0
464,464.0,776.0
465,465.0,775.0
466,466.0,792.0
467,467.0,759.0
468,468.0,795.0
469,469.0,792.0
470,470.0,762.0
471,471.0,766.0
472,472.0,706.0
473,473.0,670.0
474,474.0,678.0
475,475.0,643.0
476,476.0,685.0
477,477.0,695.0
478,478.0,705.0
479,479.0,733.0
480,480.0,765.0
481,481.0,753.0
482,482.0,801.0
483,483.0,793.0
484,484.0,801.0
485,485.0,820.0
486,486.0,827.0
487,487.0,827.0
488,488.0,769.0
489,489.0,791.0
490,490.0,762.0
491,491.0,838.0
492,492.0,824.0
493,493.0,760.0
494,494.0,792.0
495,495.0,810.0
